region,country,type_of_program,funding_agency,project_title,recipient,subrecipient,description
Europe,Norway,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Poland,Protection; Prosecution,"Dept. of State, G/TIP",Delivering Legal Services to TIP Victims,Government of Poland – Temida Association of Lawyers,,Temida Association of Lawyers will build the institutional capacity in southeastern Poland to deliver legal services to TIP victims. The project will also provide training to local officials and consultations with NGOs.
Europe,Poland,Prevention; Protection,"Dept. of State, G/TIP",TIP Awareness for City Guards and Police Officers.,Government of Poland – The Malopolskie Forum for European Education,,"The Malopolskie Forum for European Education in Krakow will create teaching materials and an Internet Website on anti-TIP techniques for police and city guards. Materials will include modules on recognizing victims, how the law applies to TIP, and interpersonal communication."
Europe,Poland,Prevention; Protection,"Dept. of State, G/TIP",Nationwide Anti-TIP Seminar,"Government of Poland – Caritas Poland $10,000",,"Caritas Poland will host a national seminar in cooperation with the National Police Academy with workshops for organizations dealing with victims of trafficking, violence and prostitution; and organizing a regional information exchange between countries of origin and institutions working in the area of victim assistance."
Europe,Poland,Protection,"Dept. of State, G/TIP",Creating First Contact Assistance Centers,Government of Poland – Caritas Poland,,"Caritas Poland will create 14 24-hour first contact assistance centers to help victims of trafficking, abuse and rape. The funds would furnish the centers, provide equipment for a free information line and pay for medical supplies."
Europe,Poland,Protection,"Dept. of State, G/TIP",TIP Victims Shelter,"Government of Poland – La Strada $60,000",,"La Strada will establish a shelter that will provide protection, as well as lend psychological and material support to returning TIP victims."
Europe,Poland,Prevention; Protection; Prosecution,"Dept. of State, G/TIP",TIP Training for Law Enforcement,Government of Poland – University of Warsaw,,University of Warsaw will provide 100 hours of classroom instruction to supervisory law enforcement officers throughout the country on the importance of implementing a comprehensive approach to preventing and combating trafficking in persons.
Europe,Poland,Protection,"Dept. of State, G/TIP",Police and Social Worker Training on TIP,Government of Poland – the Barka Foundation,,This 12-month project will train social workers and 150 police in high-risk regions; create first-contact support center to provide counseling and legal support for up to 20 victims for two weeks; upgrade and purchase a vehicle for existing shelters; and partially fund administrative expenses for 20 shelters in three regions.
Europe,Poland,Prevention,"Dept. of State, ECA",Combating Human Trafficking,3 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Europe,Romania,Protection,Dept. of State EUR,Democracy Commission Small Grants Program,“Reaching Out”,,"Assistance provided training seminars to members of local police departments, employees of a government shelter, and NGO staff members. The training honed the skills of those who will staff victim shelters."
Europe,Romania,"Prevention, Protection","Dept. of State, PRM",Counter-Trafficking activities in Romania,IOM,,"IOM works with the government of Romania and civil society to combat trafficking, provide technical assistance, and support a shelter in Bucharest."
Europe,Romania,"Prevention, Protection","USAID, Bureau for Europe and Eurasia",Romanian American Sustainable Partnerships (RASP) – Assistance to Trafficked Women,World Learning/RASP Program,,"A grant will be provided through the Romanian American Sustainable Partnerships (RASP) to an American NGO, Lift Foundation, and a Romanian NGO, Reaching Out. The partnership project will provide assistance to victims of trafficking, provide capacity building training for NGOs involved in assisting victims of trafficking and develop public awareness campaigns."
Europe,Romania,Prevention,"USAID, Bureau for Europe and Eurasia",Life Skills Program for Potential Victims of Trafficking,World Learning/ChildNet Program,,Several sub-grants under the Child Net Program will fund life skills programs that aim at preventing vulnerable children from becoming victims of trafficking.
Europe,Slovenia,Prevention,Dept. of State EUR,Democracy Commission Small Grants Program,KLUC Society – Fight Against Trafficking in Humans Center,,Assistance supported the set-up of a network based in Ljubljana that will provide NGO contacts throughout the Balkans. The network includes a special advisory telephone system that can put potential and actual victims in touch with the nearest NGO support center.
Europe,Slovenia,"Prevention, Protection, Prosecution","Dept. of State, G/TIP",Rapid Trafficking Assessment,"IOM, $29,753",,"This research project will assess to what extent trafficking in persons is present to, from and through Slovenia. An assessment will also be made of the government’s resources to combat the problem and provide assistance to victims."
Europe,Turkey,Prevention,"Dept. of State, PRM",Research Study on Trafficking in Women in Turkey,IOM,,"The project includes a study to assess the magnitude of the problem in Turkey, a workshop at the national level, and a regional conference on trafficking in persons. The goal of the project is to raise awareness and to engage relevant entities in combating trafficking."
Europe,Yugoslavia,Prevention and Protection,"USAID, Bureau for Europe and Eurasia",Prevention and Protection for Trafficking Victims in Kosovo,Save the Children,,"The activity will work with a range of local institutions, organizations and actors to establish an indigenous coalition with the capacity to carry out prevention and protection efforts after project duration and to link with regional organizations and networks."
Europe,Yugoslavia,"Prevention, Protection","USAID, Bureau for Europe and Eurasia","Trafficking of Roma Women and Children From Serbia - Contributing and Resiliency Factors, Policy and Programming Recommendations",Catholic Relief Services (CRS),,"Comprehensive research aimed at providing credible evidence and information on why Roma women and children are more often victims of trafficking activities than other groups.  This research will include cultural, social, historical and political elements and will contribute to the fundamental understanding of the problem, so that any future strategy of combating trafficking activities will be a much better informed one."
Europe,Yugoslavia,Protection,"USAID, Bureau for Europe and Eurasia",IOM Counter-Trafficking Program in Serbia 2002-2003,IOM,,"IOM facilitates an orderly, safe and dignified return of trafficked women and children stranded in the Republic of Serbia. In addition, IOM provides trafficked victims with medical assistance and pre-departure counseling. This activity facilitates the collection of more detailed data on the phenomenon of trafficking in the region."
Europe,Yugoslavia,"Prevention, Protection","USAID, Bureau for Europe and Eurasia",Counter-trafficking Awareness Campaign and Victims' Shelter Program,IOM,,"A public awareness campaign, targeting young women and girls (TV video spot, radio jingle, posters, bus tickets, and sugar packages); and organizational capacity advice/technical assistance to a shelter for victims of trafficking called the Women's Safe House."
Latin America and Caribbean,Regional – Central America,Prevention/Protection,"Dept. of State, G/TIP",Repatriation and Social Reinsertion of Vulnerable Street Children: Pilot Project,Casa Alianza and IOM,,"Trafficked children will be repatriated and given psychological and social assistance via the creation of a network of agencies. A prevention component will be aimed at keeping 1,500 kids out of trafficking situations. A database of information will be compiled on victims, routes, and other essential information that is difficult to collect and a report will be issued."
Latin America and Caribbean,Regional – Central America,Prevention,"Dept. of State, PRM",Consolidation of case studies on trafficking in Central America,IOM,,"The project proposes to pool and analyze information on migrant trafficking in Central American countries, and draw regional conclusions."
Latin America and Caribbean,Regional – Central America,Prevention,"USAID, Bureau for Latin America and the Caribbean",Central America Regional -- Vocational Training for Prostitutes and Women at Risk,Academy for Educational Development (Casa de la Mujer),,The program helps to expand skills training programs offered by Casa de la Mujer and to increase the number of participants. The program provides alternative means of income for women with limited educational opportunities who work as prostitutes in an economically depressed Guatemala-Mexico border area.
Latin America and Caribbean,Regional – Central America,"Protection, Prevention",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,"The Prevention and Elimination of Commercial Sexual Exploitation of Children in Central America, Panama and the Dominican Republic",ILO/IPEC,,"This three-year project will involve research and analysis of the problem of child prostitution and identification of strategies for action that can be adapted to specific country contexts. It includes pilot activities to withdraw or prevent children from commercial sexual exploitation and provide them with comprehensive care, including education and health services. Adolescents will receive vocational training and families will receive specialized assistance. Trafficking of children for commercial sexual exploitation purposes will be treated as a cross-cutting issue in the project."
Latin America and Caribbean,Brazil,Prevention/Protection,"Dept. of State, G/TIP","Strengthening support networks and assisting girls at risk of sexual exploitation in Natal, Rio Grande do Norte",Casa Renascer,,"This project will provide social and educational programs to 250 girls at risk of sexual exploitation and collaborate with public and private institutions to train professionals, educate the public, and formulate action plans to combat child prostitution."
Latin America and Caribbean,Brazil,Prevention,"Dept. of State, G/TIP",,Brazilian Society for a healthy society (IBISS) and the Interstate Commission Against Sexual Violence in the Center-Wet Region (CIRCO),,Build an interstate network; an aggressive outreach strategy that includes 23 municipal workshops and three state congresses to call attention to trafficking; and start an informational campaign among contacts in Bolivia and Paraguay to address cross-border trafficking.
Latin America and Caribbean,Brazil,Prevention,"Dept. of State, G/TIP",,Women’s Support Center (CHAME),,"Develop programs to present in schools, women's groups, governmental agencies, and NGOs; implement training programs for development activists, social workers, and volunteers to help them monitor sexual tourism, migration practices, domestic abuse, and child prostitution. Also, produce educational materials and build networks with other institutions."
Latin America and Caribbean,Brazil,Prosecution,"USAID, Bureau for Latin America and the Caribbean",Revision of Trafficking Legislation,Partners of the Americas,,"In partnership with the Government of Brazil, this activity supports a group of experts who are revising Brazil's legislation related to internal and international trafficking in persons."
Latin America and Caribbean,Brazil,"Prevention, Protection, and Prosecution","USAID, Bureau for Latin America and the Caribbean",National Policy on Trafficking of Children,Partners of the Americas,,Provide technical assistance to the Brazilian Ministry of Justice to design a national policy to curb trafficking of children and adolescents for sexual exploitation.
Latin America and Caribbean,Brazil,"Prevention, Protection","USAID, Bureau for Latin America and the Caribbean",NGO strengthening,Partners of the Americas,,"Strengthen existing NGOs and/or government centers in border cities, particularly in the tri-border area in the south, in order to help them provide more effective assistance to children and youth victimized by trafficking for sexual exploitation purposes."
Latin America and Caribbean,Brazil,"Prevention, Protection","USAID, Bureau for Latin America and the Caribbean",Training for Assistance to Trafficking Victims,Partners of the Americas,,Training for public and private sector representatives in methods for preventing and combating trafficking in women and children.
Latin America and Caribbean,Brazil,Prevention,"USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Public Awareness Outreach,Partners of the Americas,,"Contributes to a collaborative effort, in partnership with the USAID Mission and the Government of Brazil, to reach out to workers in the transport and tourism sectors in the fight against sexual exploitation of children and adolescents."
Latin America and Caribbean,Colombia,Protection/Prosecution,"Dept. of State, G/TIP",,IOM,,"Victim assistance providing 80 trafficking victims with repatriation and reintegration services such as legal, health, psychological, and vocational. IOM will also identify government and civil society partners and conduct training on reintegration models, kinds of assistance, and case studies."
Latin America and Caribbean,Costa Rica,Protection/Prosecution,"Dept. of State, G/TIP",,"Dept. of Justice, ICITAP and OPDAT",,"The goal is to assist GOCR improve investigation and prosecution of cases involving the sexual exploitation of minors, as well as attention given to the victims. Specific objectives include improving communication and coordination among governmental and NGOs; identifying and removing legal impediments to investigation and prosecution; develop capacity to investigate and prosecute through training and technical support; and establish an on-going program of instruction for police and judicial officials."
Latin America and Caribbean,Dominican Republic,"Prevention, Protection","Dept. of State, PRM",,IOM,,"In its second phase, the project will provide support for the preparation of anti-trafficking legislation, information and training to secondary school teachers, a program of assistance for returned victims, and facilitate a cooperation mechanism for the return of victims between the governments of the Dominican Republic and Argentina, a destination country for Dominican victims."
Latin America and Caribbean,Dominican Republic,"Prevention, Protection",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,Supporting the Timebound Program on the Elimination of the Worst Forms of Child Labor in the Dominican Republic,ILO/IPEC,,"This four-year project supports the Timebound Program in the Dominican Republic, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. Trafficking of children for commercial sexual exploitation (CSE) purposes will be treated as a cross-cutting issue in the project. The project will withdraw or prevent children from entering CSE and other sectors of exploitative labor and will provide them with educational opportunities and health services. Alternative income generation opportunities and training will be provided to families."
Latin America and Caribbean,El Salvador,Protection/Prevention/Prosecution,"Dept. of State, G/TIP",,The Salvadoran Institute for the Full Development of Children and Adolescents,,This one-week project will train operators of an existing smuggling hotline – set up by the INS – in trafficking crimes so they can assist potential victims and gather information.
Latin America and Caribbean,El Salvador,Prevention,"Dept. of State, G/TIP",,The Salvadoran Institute for the Full Development of Children and Adolescents,,The NGO will produce and air radio advertisements to educate listeners on the risks and realities of trafficking and illegal migration.
Latin America and Caribbean,El Salvador,"Prevention, Protection","Dept. of State, PRM",,IOM,,"Working with an NGO implementing partner and the Salvadoran government, IOM will set up a shelter to provide access to psychological, medical and legal assistance to victims of trafficking."
Latin America and Caribbean,Haiti,"Prevention, Protection, Prosecution","USAID, Bureau for Latin America and the Caribbean",Anti-Trafficking Campaign and Monitoring,National Coalition for Haitian Rights,,"Support a comprehensive campaign against child slavery and trafficking including research, public education, coalition building, supporting passage and enforcement of laws and monitoring implementation of laws."
Latin America and Caribbean,Haiti,"Prevention, Protection","USAID, Bureau for Economic Growth, Agriculture and Trade, Office of Women in Development",Trafficking of Haitian Children to the Dominican Republic,UNICEF,,"Research on the fate of Haitian children trafficked to the Dominican Republic for forced labor and, through local non-governmental organizations, support for basic social services to trafficked Haitian children in the Dominican Republic."
Latin America and Caribbean,Mexico,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Latin America and Caribbean,Mexico,"Protection, Prevention",Dept. of Labor/Bureau of International Labor Affairs/International Child Labor Program,Support for the Prevention and Elimination of Commercial Sexual Exploitation of Children (CSEC) and the Protection of CSEC victims in Mexico,ILO/IPEC,,"This 32 month-long project will withdraw or prevent children from commercial sexual exploitation in Guadalajara, Acapulco, and Tijuana and provide them with comprehensive care including education and health services. Adolescents will receive vocational training and families will receive assistance in employment and education programs. The project will also work towards raising awareness and mobilizing actors to combat commercial sexual exploitation of children, strengthen institutions in order to document the problem and harmonize existing laws, and foster national coordination and partnerships. Trafficking of children for commercial sexual exploitation purposes will be treated as a cross-cutting issue in the project, as will the problems of sex tourism and dissemination of child pornography via the Internet. The project will develop a model for prevention and the provision of services for victims to be adapted to specific regions of the country."
Latin America and Caribbean,Nicaragua,Prevention,"USAID, Bureau for Latin America and the Caribbean",Research,Johns Hopkins University and the Protection Project,,Research and public awareness campaign.
Middle East,Bahrain,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,4 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Middle East,Egypt,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,4 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Middle East,Israel,"Protection, Prosecution","Dept. of State, G/TIP",Establishment of a Shelter Facility,Government of Israel,,"This partial contribution will be used to establish a secure shelter facility that will house women waiting to testify against traffickers or preparing to go home. The shelter will offer psychological, medical, and legal services to the women. Legal services will include assistance in instituting labor/civil suits or compensation suits."
Middle East,Israel,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,Individual,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Middle East,Kuwait,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,4 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
Middle East,Lebanon,Protection/Prosecution,"Dept. of State, G/TIP",Protection and Assistance for Victims of Trafficking in Lebanon,International Catholic Migration Commission (ICMC) and Caritas through IOM,,"This project will assist in setting up a safe house that will jointly run by the ICMC and Caritas Lebanon Migrants’ Center. The safe house will provide medical assistance, counseling, legal aid, and safe repatriation. ICMC and Caritas envision providing trafficking victims with assistance in finding better working conditions in Lebanon or assisting in repatriation."
Middle East,Lebanon,Prevention,"Dept. of State, ECA",International Visitor Exchange Program on Trafficking of Women and Children,2 Individuals,,"The program brings current or potential leaders in government, politics, the media, education, and other fields to the United States to meet and confer with their professional counterparts. The International Visitor Program partners with national program agencies to design and implement each program to meet specific visitors’ interests. Programs typically last three weeks during which visitors gain an overview of programs to prevent trafficking of women and children in Washington, DC followed by related local programs arranged through a country-wide network of Council of International Visitors."
