region,country,type_of_program,funding_agency,recipient,project_title,description,amount
Europe/Eurasia,Kyrgyzstan (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,Prevention and Victim Assistance,This project supports local anti-TIP hotlines.,"$15,000"
Europe/Eurasia,Kyrgyzstan (Tier 2),Prevention,USDOS/EUR,"Public Foundation Podruga, Osh",U.S. Embassy Democracy Commission Small Grants Program,"Working with local journalists, other NGOs, and IOM, Podruga will conduct anti-TIP seminars in Russian, Kyrgyz, and Uzbek for students, educational institutions, NGO representatives, and community members in the southern oblasts of the Kyrgyz Republic. Podruga will also conduct six mini-seminars for district police department staff on TIP and place anti-TIP inserts in local newspapers.","$9,527"
Europe/Eurasia,Kyrgyzstan (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",Winrock International,,Grants to local NGOs for public awareness and victim assistance.,"$210,000"
Europe/Eurasia,Macedonia (Tier 1),Prosecution,,DOJ/ICITAP,Police Reform on TIP,This project will consist of conducting a workshop for police and prosecutors to promote collaboration and to promote positive treatment of trafficked victims.,"$ 18,000"
Europe/Eurasia,Macedonia (Tier 1),Prosecution,USDOS/INL,DOJ/ICITAP & OPDAT,Anti-Trafficking Project,"ICITAP and OPDAT will continue to work with the International Organization for Migration (IOM) to present a series of skill-building workshops for local leaders who can impact the human trafficking problem in Macedonia. The sessions will bring together police, prosecutors, and judges as well as representatives from organizations that assist victims of trafficking. The forum will help participants develop a comprehensive approach to deal with this problem. In addition, the forum will focus on how this issue affects both the stability of the region and Macedonia’s aspirations to meet international human rights standards. Subsequent sessions will facilitate the creation of a task force. The project is intended to promote a comprehensive all three “Ps” approach to combating human trafficking. The project builds upon an earlier joint ICITAP/OPDAT project intended to be conducted in conjunction with the International Organization for Migration (IOM) to combat human trafficking in Macedonia. That project brought together working level police investigators, prosecutors, and investigative judges to analyze, organize, and present case scenarios in order to develop practical skills and also promoted a team approach to prosecute human trafficking cases in their jurisdictions.","$ 30,000"
Europe/Eurasia,Macedonia (Tier 1),"Prevention, Protection",USDOS/EUR,"DOS Public Diplomacy, Small Grants Program",,"Continuing operations of the transit center operated by the Interior Ministry with the support of the IOM and local NGO’s. Programs include extensive outreach in public education, training seminars to enhance reporting, shelters, reintegration assistance, medical care and counseling.","$75,000"
Europe/Eurasia,Macedonia (Tier 1),,"USAID, Bureau for Europe and Eurasia",Institute for Sustainable Community and subgrantees,NGO Grants Program,"This program solicits proposals from local NGOs for projects directed at anti-trafficking thus helping to build and support local NGO capacity in this area. Grants may cover many aspects of anti-trafficking work such as awareness and prevention, direct victim assistance, or reintegration and legislative issues.","$100,000"
Europe/Eurasia,Macedonia (Tier 1),,,International Research and Exchanges Board,Media Awards,To upgrade and recognize media reporting on trafficking issues.,"$20,000"
Europe/Eurasia,Macedonia (Tier 1),,,Education Development Center (dot-ORG),Support Anti-Trafficking Activities: Recommendations,A study on possible uses of information communication technology to strengthen anti-trafficking-in-persons efforts in Macedonia.,"$18,700"
Europe/Eurasia,Macedonia (Tier 1),,,DOS/EUR/PD,Public Awareness,"Regional Public Awareness program that pairs US organizations with NGOs in Southeastern Europe to conduct a multifaceted media and information campaign, which also supports education of women at risk.","$75,000"
Europe/Eurasia,Macedonia (Tier 1),,,USDOJ/ICITAP,Training Program,Itemized expenditures to continue October 2002 narcotics merchandise and weapons training to implement methods techniques and resources that are utilized in combating trafficking.,"$30,000"
Europe/Eurasia,Moldova (Tier 2),Protection,USDOS/PRM,IOM,Shelter and Victim Assistance,"This project supports a shelter for returning victims, including reintegration assistance and counseling.","$125,000"
Europe/Eurasia,Moldova (Tier 2),Prevention,USDOS/EUR,Interaction,U.S. Embassy Democracy Commission Small Grants Program,"Interaction will organize seminars and distribute publications about TIP for teenage girls in orphanages to make them aware of their rights, available social assistance, and methods of prevention TIP.","$5,900"
Europe/Eurasia,Moldova (Tier 2),Prevention,USDOS/EUR,Civic Initiative Women's Organization of Moldova,U.S. Embassy Democracy Commission Small Grants Program,"The Civic Initiative Women’s Organization will distribute copies of the TIP documentary ""Cry of Despair"" to national and international organizations in Moldova and abroad for use as training material in trafficking prevention activities. The NGO will also organize six seminars for girls and teachers in several regions of Moldova on the prevention of trafficking in women.","$5,050"
Europe/Eurasia,Moldova (Tier 2),Prevention,USDOS/EUR,"CMB Training Center,",U.S. Embassy Democracy Commission Small Grants Program,"The NGO, which provides short-term, career-focused education and training for young people, will create a network of businesses and civic organizations that can offer opportunities for young women to gain work experience. The goal of the project is to help women become less susceptible to trafficking by providing job skills.","$5,000"
Europe/Eurasia,Moldova (Tier 2),"Prevention, Protection",USDOS/INL/AAE,"UNDP, La Strata",Center Expansion,Expand Center for the Prevention of Trafficking in Women (CPTW) and Consolidate existing multiple anti-trafficking information hotlines into a single '800' number.,"$190,000"
Europe/Eurasia,Moldova (Tier 2),Prosecution,USDOS/INL/AAE,OPDAT,Trafficking in Women and Children,One Anti-Trafficking course as part of RLA program.,"$25,000"
Europe/Eurasia,Regional,"Prevention, Protection",USDOS/PRM,IOM,Regional Mental Health Initiative for Victim Treatment,"This project will establish standards of care for the mental health assistance provided to victims of trafficking, who are often in acute psychological distress. It includes a ""train the trainers"" component to disseminate the standards and put them into practice in IOM missions in the region.","$200,000"
Europe/Eurasia,Regional: Caucasus and Central Asia (GUUAM),"Rule of Law; Prevention, Prosecution",USDOS/EUR,GUUAM Virtual Law Enforcement Center,Stemming Human Trafficking in the GUUAM States,"The GUUAM Virtual law Enforcement Center, at the present state consists of (5) states that have agreed to work on rule of law matters. Within this framework the Government of Moldova has agreed to coordinate the law enforcement activities of these states in the development of region-wide law enforcement operations, which will target the relationship between human trafficking and organized crime.","$25,000"
Europe/Eurasia,Regional: Central Asia,"Prevention, Protection, and Prosecution","USAID, Bureau for Europe and Eurasia",International Organization for Migration,,"Activities for Kazakhstan will include prevention and prosecution and assistance to improve policies and legislation; in Tajikistan, the focus will be on an information campaign; in Uzbekistan, activities will include an assessment of trafficking and awareness campaigns in targeted areas.","$1,040,000 (Kazakhstan, $450,000; Tajikistan, $150,000; Uzbekistan, $400,000)"
Europe/Eurasia,Regional: Finland (Tier 2),Prevention,,U.S. Embassy Helsinki,Helsinki Trafficking Prevention Conference,"Funding for speakers and other participants in the Conference, ""Best Practices in Combating Trafficking in Minors in the Baltic Sea Region.""","$40,000"
Europe/Eurasia,Regional: Hungary (Tier 2),"Prevention, Protection",,International Organization for Migration,"Health Aspects of Trafficking in Persons: a Regional Workshop and Conference hosted by U.S. Embassy Budapest with funding from USAID in cooperation with the International Organization for Migration, March 19-21, 2003.",Regional conference,"$96,000"
Europe/Eurasia,Regional: Southeast Europe,"Prevention, Protection",USDOS/EUR,Stability Pact,Stability Pact Task Force on Human Trafficking,EUR is engaged in supporting the following four efforts under that the Stability Pact framework: 1) Supporting the Deputy Coordinator for the Stability Pact Human Trafficking Task Force; 2) advanced regional training and awareness raising on human trafficking and the media in Southeast Europe; 3) victim assistance for minors and capacity building via training and best practices; and 4) enhanced cooperation of Southeast Europe national government anti-trafficking coordinators.,"$400,000"
Europe/Eurasia,Regional: Southeast Europe,Prosecution,USDOS/EUR,Southeastern European Cooperative Initiative (SECI) Center to Combat Transnational Crime,Operation Mirage,"Technical assistance provided is used for training, equipment and technical assistance. Funds are broken down to assist in the four complementary programs: 1) direct technical assistance to southeastern European law enforcement; 2) creation and implementation a prosecutors working group to address investigative case processing and witness security; 3) creation and implementation a judges working group to address issues of sentencing; and 4) on-site DOJ OPDAT prosecutor to assist in the development of the above-mentioned projects.","$250,000"
Europe/Eurasia,Regional: Southeast Europe,Prevention,USDOS/ECA,International Research and Exchanges Board (IREX),Prevention of Trafficking,"This grant will support an anti-trafficking program for professionals from non-governmental organizations in Southeastern Europe. Project activities include a three-week training and internship program for 18 participants in Washington, D.C., New Jersey, and New York; on-site consultations by U.S. experts at the participants’ organizations in Southeastern Europe; and a follow-up workshop for program participants and other professional involved in anti-trafficking in the region.","$249,931"
Europe/Eurasia,Regional: Southeast Europe,Prevention,USDOS/ECA,"Johns Hopkins University, School for Advanced International Studies (SAIS)",Prevention of Trafficking in Persons in South East Europe,"This project supports training and exchange activities to assist government officials to develop more effective laws and enforcement plans against trafficking in persons in Albania, Bosnia, Bulgaria, Croatia, Kosovo, Macedonia, Montenegro, Romania, and Serbia. Project activities will include three two-day workshops held in Zagreb, Croatia; Belgrade, Serbia; and Sofia, Bulgaria for government officials; an in-depth program in Washington, DC, for participants from each country; and the publication and dissemination of a handbook on appropriate government responses to the problem.","$235,834"
Europe/Eurasia,"Regional: Southeast and East Europe: Albania, Moldova, Romania, Ukraine","Prevention, Protection","Departments of Labor, Health and Human Services, Education and Related Agencies Appropriations",ILO-IPEC,Combating Trafficking in Children for Labour and Sexual Exploitation in the Balkans and Ukraine,"This project will contribute towards the creation of an enabling environment to prevent and eliminate internal and cross-boarder trafficking in children for sexual and labor exploitation. Interventions will include advocacy to bring legislation and procedures in line with international commitments, reintegration of child victims of trafficking into communities, and establishment of a subregional information exchange network to reinforce and compliment existing regional structures and other subregional mechanisms.","$1,500,000"
Europe/Eurasia,Regional (Kazakhstan and Tajikistan),"Prevention, Protection",,Meridian International Center,Trafficking in Persons: Information as Prevention,"The four NGO leaders participating in this two-week project concentrated on the strategies and policies designed to prevent and combat human trafficking. The group examined government anti-trafficking and anti-slavery initiatives at both the federal and state levels and met with representatives of international organizations concerned with these issues. They learned about non-governmental campaigns to prevent trafficking and educate populations about the dangers of trafficking, as well as lobbying efforts and legislative responses. Discussions focused on the importance of collaboration between law enforcement and community organizations. The group traveled to Washington, DC; Portland, OR; and Buffalo and New York, New York.","$46,844"
Europe/Eurasia,"Regional (Armenia, Azerbaijan and Georgia)","Prevention, Protection",USDOS/ECA,Meridian International Center,,"This three-week project allowed law enforcement officers, ministry officials, parliamentarians, NGO representatives, and legal experts from the three countries of the South Caucasus to visit various cities in the U.S. to examine how representatives from a variety of societal sectors can effectively work together to address the issue of trafficking in persons. The participants looked at policies and strategies to prevent and actively combat trafficking of persons, including prosecution of and enforcement against traffickers.","$147,292"
Europe/Eurasia,Romania (Tier 2),"Protection, Prosecution",USDOS/INL,DOJ/OPDAT,Resident Legal Advisor (RLA),The Resident Legal Advisor will continue working with Romanian officials to refine anti-trafficking legislation and to conduct training activities designed to improve investigative and prosecutorial skills as part of his/her overall work plan.,"$ 60,000—portion of total RLA program."
Europe/Eurasia,Romania (Tier 2),"Prevention, Protection",USDOS/PRM,IOM,"Prevention, Shelter and Victim Reintegration","This project supports victim assistance and reintegration, including a shelter. It also includes funding for anti-trafficking educational programs and prevention activities.","$270,000"
Europe/Eurasia,Romania (Tier 2),Protection,USDOS/EUR,Biosanta,U.S. Embassy Democracy Commission Small Grants Program,"The project will explain to teenagers issues related to trafficking prevention. This will be achieved by directly presenting the phenomenon as it currently unfolds in Romania. The project will reach over 2,400 teenage pupils from high schools from Bistrita Nasaud county.","$19,806"
Europe/Eurasia,Romania (Tier 2),Prevention,"USAID, Bureau for Europe and Eurasia",World Learning,ChildNet,USAID Romania works with NGOs to implement activities aiming to prevent vulnerable children from becoming victims of trafficking. Grants awarded in 2003 support areas include life skills training and social/occupational integration services for children who leave state welfare institutions.,"$373,824"
Europe/Eurasia,Romania (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia","World Learning (Lift Foundation, Reaching Out)",,"To assist victims of trafficking by providing counseling, shelter, medical assistance and vocational training in Pitesti. An on-site tailoring workshop will be established to foster economic independence of the young women. The vocational tailoring program will include both young women living in the shelter and girls living in state welfare institutions.","$58,465"
Europe/Eurasia,Romania (Tier 2),Prevention,"USAID, Bureau for Europe and Eurasia","World Learning (Social Alternatives Association, MiraMed Institute)",,"Establishes a coalition of NGOs against trafficking of women in several counties in the Moldova region of Romania and builds NGOs capacity to design and implement anti-trafficking public awareness campaigns in their communities. NGOs and police representatives will conduct information sessions on trafficking issues in schools and state welfare institutions. Anti-trafficking information materials will be disseminated through TV and radio spots, poster contests, and various public events attended by youth.","$62,097"
Europe/Eurasia,Russia (Tier 2),"Prevention, Protection",USDOS/G/TIP,Miramed Institute through IOM,Establish International Helpline and Victim Assistance Network and Database.,"These funds will be used to begin work on establishing a toll-free international Russian language help-line based in Russia for Russia, Europe, the Middle East and the USA. This will involve recruiting and training help-line operators, and development and dissemination of the number internationally. Funds will also be used to compile and analyze data gathered from the help-line and Victim Assistance Center to develop a database.","$189,732"
Europe/Eurasia,Russia (Tier 2),Prosecution,,DOJ/ICITAP,(Continuation of) Anti-Trafficking Task Force,"Third year funding for a joint US-Russia task force to combat trafficking. The program will include taskforce training, assessment of the effectiveness of the implementation of protocols, investigations, and prosecutions and the interrelationship of victims’ services and investigative units. A special training session for victims’ advocates will also be developed. A curriculum will be developed for Russian consular officers on assisting Russian victims overseas. To further develop the U.S.-Russia international task force to investigate trafficking in women and children and promote the development of Russian task forces directed at crimes involving violence against women and children.","$ 200,000"
Europe/Eurasia,Russia (Tier 2),Prosecution,,DOJ/OPDAT,Anti-Trafficking Legislative Assistance,"Activities will include conferences and exchanges with legal and operational experts working in other source and destination countries; consultations with parliaments in countries with successful Palermo compliant trafficking legislation; consultations with judges, lawyers and prosecutors handling trafficking cases in the U.S. and elsewhere; consultation between the Duma working group members and the U.S. Congress; and, training of prosecutors and law enforcement personnel in the use of this legislation to prosecute traffickers. This project supports the Duma, Legislative Working Groups, law enforcement and NGOs involved in drafting new anti-trafficking legislation to comply with standards set in the Palermo Convention on Transnational Organized Crime and its Protocol on Trafficking in Persons, especially Women and Children, to which both parties are signatories.","$ 150,000"
Europe/Eurasia,Russia (Tier 2),Prosecution,USDOS/INL,Ministry of Internal Affairs (MVD),Internet Child Pornography (continuation),"This project will provide computers and other technical assistance, including technical experts and training in the U.S. in interdiction of child pornography over the Internet. Equipment will also be provided for the investigators in the unit. It supports the development of a Russian child-pornography Internet undercover operation.","$100,000"
Europe/Eurasia,Russia (Tier 2),Prevention,DOS/EUR,"Syostry Public Movement, Novgorod,",U.S. Embassy Democracy Commission Small Grants Program,"The NGO, which is one of Russia’s oldest crisis support services, will compile a trainer’s portfolio on trafficking issues that includes all of the materials necessary for conducting effective TIP awareness seminars and train trainers from other anti-TIP NGOs in their use.","$19,930"
Europe/Eurasia,Russia (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",International Research and Exchanges Board (IREX),,"This activity helps at-risk women build confidence and increase their economic opportunities. Program objectives are to develop the capabilities of existing women's crisis centers to conduct anti-trafficking activities; and through the network of existing women's nongovernmental organizations, to provide targeted services to at-risk women and returned victims, focusing on job skills training and small business development; and create awareness about trafficking at the grassroots level.","$235,000"
Europe/Eurasia,Serbia-Montenegro (Tier 2),Prosecution,USDOS/INL,DOJ/OPDAT,Resident Legal Advisor (RLA),"Anti-TIP Activities in RLA program: The RLA serve as an advisor to the Serbian Anti-Trafficking Task Force within the Serbian Ministry of the Interior, the Montenegran Project, Board for Combating Human Trafficking, and other international organizations.","$ 10,000—portion of RLA program total"
Europe/Eurasia,Serbia and Montenegro (Tier 2),Prevention,USDOS/EUR,,U.S. Embassy Democracy Commission Small Grants Program,"The four small grants projects will publicize the trafficking issue through mass media, workshops, and seminars in Serbia and Montenegro, including Kosovo, and establish an SOS line for victims of trafficking in persons and of domestic violence.","$70,143"
Europe/Eurasia,"Serbia and Montenegro, inc. Kosovo (Tier 2)",Prosecution,USDOS/EUR,INL – Civilian Police (CIVPOL),US contingent of the UN Civilian Police in Kosovo,Funding of US police officers assigned to the United Nations Mission in Kosovo (UNMIK) TIP Unit and the Organized Crime Bureau.,"$200,000 (2 officers)"
Europe/Eurasia,"Serbia and Montenegro, inc. Kosovo (Tier 2)","Prevention, Investigation and Prosecution; International Crime/Rule of Law",USDOS/EUR,INL/Kosovo Police Service,Training of Kosovo Police Service (KPS),"Funds support training of the KPS, including in prevention, investigation and prosecution is one component of the training",Cannot determine trafficking portion due to multi-donor effort.
Europe/Eurasia,"Serbia and Montenegro, inc. Kosovo (Tier 2)","Protection, Prevention",USDOS/EUR,IOM,Support for IOM protection and prevention activities,"Support for IOM protection and prevention activities including direct assistance to Kosovar victims of trafficking and forced prostitution. The program seeks to ensure the successful reintegration of trafficked women and children using local NGO and governmental structures. The program provides immediate safe shelter, medical and financial assistance, pyschological and legal counseling, and job training and placement activities. Prevention activities focus on information and awareness raising campaigns through print media broadcast and training of government actors.","$250,000"
Europe/Eurasia,"Serbia-Montenegro, inc. Kosovo (Tier 2)","Prevention, Protection","USAID, Bureau for Europe and Eurasia",International Organization for Migration,"Reintegration Program for Kosovar Victims of Trafficking, Particularly Women and Children",,"$30,000"
Europe/Eurasia,"Serbia and Montenegro, inc. Kosovo (Tier 2)","Prevention, Protection",USDOS/EUR,US Office Pristina,Democracy Commission Grant,"Provides a quick impact operational response to assist victims, helps build capacity of local authorities, advocates for local action to address root causes of trafficking.","$25,000"
Europe/Eurasia,Serbia-Montenegro (Tier 2),"Prevention, Protection","USAID, Bureau for Europe and Eurasia",International Organization for Migration,,This program will build on results from previously implemented activities and a policy change by the Government of Serbia toward more favorable treatment of victims. It will support on-going activities at a safe-house shelter that provides victim assistance and facilitates local integration for foreign victims for whom repatriation is not suitable.,"$300,000"
Europe/Eurasia,Serbia-Montenegro (Tier 2),Protection,"USAID, Bureau for Europe and Eurasia",International Organization for Migration,,Support for a shelter and shelter-related victim assistance programs for trafficking victims in Montenegro.,"$100,000"
Europe/Eurasia,Slovakia (Tier 2),Prevention,USDOS/EUR,Help to Victims of Violence,U.S. Embassy Democracy Commission Small Grants Program,"The main activity of this project is to set up and expand a national help-line offering information and services for victims and potential victims of trafficking. Targeting women between 16-24, they will refer women to the organization’s centers and other services in Slovakia, and provide direct crisis intervention in indicated cases.","$17,793"
Europe/Eurasia,Tajikistan (Tier 2),Prevention,USDOS/EUR,,U.S. Embassy Democracy Commission Small Grants Program,"The NGO will conduct five roundtables with Tajik journalists on TIP issues with the aim of establishing a nationwide network of journalists against TIP. The NGO will also work with journalists to publish articles on TIP cases in local and national newspapers, with the aim of publishing over 50 such articles during the course of the project.","$1,960"
Europe/Eurasia,Tajikistan (Tier 2),Prevention,USDOS/EUR,,U.S. Embassy Democracy Commission Small Grants Program,"The NGO will conduct a series of discussions with students in seven Tajik universities on TIP, will train 45 secondary school teachers on how to carry out classes focused on TIP issues, and will print a new edition of the anti-trafficking book ""Woman and War.""","$7,709"
Europe/Eurasia,Tajikistan (Tier 2),Prevention,USDOS/ECA,"IREX; Sub-recipient/In-country partner: Nasl in Khujand, Ghamkhori in Kurgan-Tyube, and Madad in Khorog.",Professional Exchanges for Tajikistan Anti-Trafficking,"This grant will support an anti-trafficking program for media professionals in Tajikistan. Project activities include a series of in-country group workshops for journalists, on-site consultations by U.S. experts at Tajik media outlets and a small grants program, which will support media projects aimed at increasing awareness of trafficking in persons among the general public and potential victims.","$149,605"
Europe/Eurasia,Turkey (Tier 2),"Prevention, Protection","Departments of Labor, Health and Human Services, Education and Related Agencies Appropriations",ILO-IPEC,Supporting the Timebound Program on the Elimination of the Worst Forms of Child Labor in Turkey.,"This (42-month) project supports the Timebound Program in Turkey, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. A component of research will be conducted to better understand the circumstances surrounding the existence and evolving worst forms of child labour, such as child trafficking.","$2,500,000"
Europe/Eurasia,Ukraine (Tier 2),Prevention,USDOS/INL,Winrock International,TIP Additional Partners - Winrock,"This is a cost extension to an existing grant to add three NGO partners, which will expand the assistance to other parts of Ukraine and will allow for a small research component. The project includes training and the introduction of new activities to improve community awareness and response to domestic violence and trafficking issues in Ukraine. In 2001, a Cooperative Agreement was awarded to Winrock International for anti-domestic violence and anti-trafficking in persons assistance.","$111,000"
Europe/Eurasia,Ukraine (Tier 2),Prosecution,USDOS/INL,DOJ/OPDAT/FBI,Anti-Trafficking Curriculum for Prosecutors Development,OPDAT and FBI will work with the Procuracy Training Institute of the Office of the Prosecutor General to develop and institutionalize a training program for prosecutors in the prosecution of trafficking cases.,"$ 250,000"
Europe/Eurasia,Ukraine (Tier 2),Protection,USDOS/PRM,IOM,Shelter and Victim Assistance,"This project supports a shelter for returning victims, including reintegration assistance, as well as partnership with local NGOs working on victim reintegration.","$175,000"
Europe/Eurasia,Ukraine (Tier 2),Prosecution,USDOS/INL,ICTAP,Institutionalized Training Programs,ICITAP would work jointly with the Ministry of Internal Affairs national Training institutions in developing and institutionalizing training programs on the investigation of trafficking crimes. The creation of a single training program for all law enforcement officials dealing with trafficking issues would facilitate cooperation and increase law enforcement’s ability to combat trafficking.,"$250,000"
Europe/Eurasia,Ukraine (Tier 2),Prevention,USDOS/ EUR,Kiev School of Equal Opportunities (KSEO),U.S. Embassy Democracy Commission Small Grants Program,"The NGO will train a group of 25 volunteer teenagers to produce and present a theater performance on the subject of human trafficking entitled “Instead of Paradise” to be presented in schools and at other venues throughout the country. Additional training on leadership skills, effective communication, gender equality, violence prevention, human trafficking prevention, human rights, and establishing NGOs will be provided in one-day sessions during the winter school session.","$9,740"
Europe/Eurasia,Ukraine (Tier 2),Prevention,"USAID, Bureau for Europe and Eurasia",Winrock International,Trafficking Prevention Center Program,"To continue funding Winrock International's Job Skills Training Program (JSTP) and Crisis Prevention Program (CPP): focus is on anti-trafficking and women’s economic empowerment work through 7 regional anti-trafficking centers which provide services to victims and referrals for medical treatment. In addition, USAID will continue to award grants to Ukrainian NGOs for activities focused on decreasing violence against women, capacity building of rural women’s NGOs to provide services for women, increasing public awareness of trafficking in women and increasing economic awareness.","$699,997"
Europe/Eurasia,Ukraine,Prevention,USDOS/ECA,Meridian International Center,,"A group of Ukrainian judges, prosecutors, and law enforcement officials spent two weeks in the United States meeting with their U.S. counterparts on the federal, state and local levels to discuss anti-trafficking efforts both within the U.S. and internationally. In addition to appointments in Washington D.C., the delegation traveled to Buffalo, New York; Portland, Oregon and New York, New York, where appointments focused on the role of border security in anti-trafficking efforts, cooperation between all levels of law enforcement, the role of technology in combating trafficking and victims assistance.","$66,930"
Europe/Eurasia,Uzbekistan (Tier 2),Prevention,USDOS/EUR,Women's Resource Center,U.S. Embassy Democracy Commission Small Grants Program,The NGO will organize a series of seminars on illegal migration and trafficking of young people for high school and university students and mahalla groups. Some 250 individuals are expected to participate in the seminars.,"$4,422"
Latin America And Caribbean,Belize (Tier 2),Prosecution,USDOS/G/TIP,IOM,Assessment of Trafficking in Men and Women for Labor and Sexual Exploitation in Belize,"IOM will do a discreet research investigation of the different types of trafficking in Belize to shed greater understanding on the routes used, who are the traffickers, who are the victims, what type of exploitation is occurring, and to approximate the extent of the problem.","$50,000"
Latin America And Caribbean,Belize (Tier 2),"Prevention, Protection, and Prosecution","USAID, Bureau for Latin America and the Caribbean","Organization of American States/Inter-American Commission of Women, and International Organization for Migration",International Trafficking of Women and Children for Sexual Exploitation in the Americas,"This is a portion of a project that will be carried out throughout the Western Hemisphere and supported by multiple agencies. The Organization of American States/Inter-American Commission of Women (OAS/CIM) and International Organization for Migration will train government officials, civil society, and representatives of the private sector to identify and assist victims of trafficking and implement laws and regulations effectively.","$51,850"
Latin America And Caribbean,Bolivia (Tier 2),"Prevention, Protection, and Prosecution","USAID, Bureau for Latin America and the Caribbean","Organization of American States/Inter-American Commission of Women, and International Organization for Migration",International Trafficking of Women and Children for Sexual Exploitation in the Americas,"This is a portion of a project that will be carried out throughout the Western Hemisphere and supported by multiple agencies. The Organization of American States/Inter-American Commission of Women (OAS/CIM) and International Organization for Migration will train government officials, civil society, and representatives of the private sector to identify and assist victims of trafficking and implement laws and regulations effectively. The program will also research and document social, legal, economic, cultural aspects of the trafficking problem and the response by government and civil society.","$146,550"
Latin America And Caribbean,Brazil (Tier 2),Prosecution,USDOS/G/TIP,ILO,"Strengthening prevention of trafficking of children, adolescents and women for sexual exploitation to Europe and establishing a rehabilitation and repatriation methodology of rescued persons","This two-year project will train 200 officials of the Transit, Civil, Federal and Military Police forces, airport and immigration authorities, Embassy consular officials, judges and prosecutors to identify and take action against traffickers. A network of international organizations and Customs officials in Brazil and Europe will be developed for the repatriation of victims and information exchange on traffickers. ILO will also assist the Government of Brazil with interagency cooperation on a national action plan against trafficking, conduct public awareness campaigns, and provide direct assistance to victims in five cities in the Northeast (Natal, Salvador, Recife, Fortaleza, and Joao Pessoa).","$251,086"
Latin America And Caribbean,Brazil (Tier 2),Protection,"USAID, Bureau for Latin America and the Caribbean",International Labor Organization,Brazil—assistance to trafficking victims,"USAID/Brazil is expanding access to and improving the quality of assistance for trafficking victims in Brazil. Training is being expanded to the Northeastern states of Maranhao, Paraiba, and Rio Grande do Norte at the request of the Government of Brazil. USAID/Brazil will design and deliver a comprehensive NGO training program that includes capacity building, psychosocial assistance to trafficking victims, and training in fundraising, monitoring and evaluation and activity design.","$353,800"
Latin America And Caribbean,Brazil (Tier 2),"Prevention, Protection",Department of Labor,ILO-IPEC,Supporting the Timebound Program to Eliminate the Worst Forms of Child Labor in Brazil,"This project supports the Timebound Program in Brazil, which comprises a set of comprehensive and integrated initiatives to show visible results in the elimination of the worst forms of child labor and promotion of basic education in the country in a 5-10 year period. Trafficking of children for commercial sexual exploitation (CSE) purposes will be treated as a cross-cutting issue in the project. The project will withdraw or prevent children from entering CSE and other sectors of exploitative labor and will provide them with educational opportunities and health services. Alternative income generation opportunities and training provided for families.","$ 4,498,135"
Latin America And Caribbean,Chile (Not on TIP Report),"Prevention, Protection",USDOS/PRM,IOM,"Prevention, protection, assistance to victims",IOM will work with the Chilean Ministry for Minors to provide protection and assistance to minors victim of commercial sexual exploitation calling the 24-hour hotline. The project also includes training for concerned NGO and government representatives.,"$160,000"
Latin America And Caribbean,Colombia (Tier 1) and Dominican Republic (Tier 2),Prosecution,USDOS/G/TIP,IOM,Combating Trafficking in Persons through Training and Multi-State Cooperation.,"This one-year project seeks to improve law-enforcement efforts in Colombia and the Dominican Republic by learning from US legislation and law enforcement initiatives and improving cooperation between source and destination countries for international sex trafficking. This will be accomplished through a series of technical capacity building workshops in each country to include members of police forces, judiciaries, prosecutors and other government officials. The final phase will include a seminar between these source countries with key destination countries of Spain, Italy and the Netherlands to identify methods for improving victim protection and removing barriers to international law enforcement cooperation.","$263,285 includes assessments and development of a common methodology; training and workshops in the Dominican Republic and Colombia; Trans-Atlantic seminar and development of victim protection plan."
Latin America And Caribbean,Costa Rica (Tier 2),Prosecution,USDOS/G/TIP,Government of Costa Rica,Establishment of Investigative and Prosecutorial Teams for CSEC,This two-year initiative will expand the Government of Costa Rica’s law enforcement capabilities to fight the commercial sexual exploitation of children (CSEC) to three zones of high sex tourism activity. Funds are to be used for material support of investigative units. The embassy will contribute funds for one additional zone and the GOCR will make in-kind contributions.,"$95,400 ($31,800/zone x 3 zones)"
Latin America And Caribbean,Dominican Republic (Tier 2),Prosecution,"USAID, Bureau for Latin America and the Caribbean",Fundacion Institucionalidad y Justicia (FINJUS),Dominican Republic--Implementing Anti-Trafficking in Persons Legislation,"USAID/Dominican Republic will support implementation of new anti-trafficking legislation by training justice sector and other government officials as well as victim protection agencies. With the participation of NGOs, public and private sector agencies, and justice sector institutions USAID will fund technical assistance to help develop policies, plans and programs to implement the legislation.","$61,915"
